CNPJ,Razão Social,Nome fantasia
42.803.362/0001-60,VOIR FACILITADORA DE PAGAMENTOS INTERNACIONAIS LTDA,
34.882.109/0001-11,JUST PAGAMENTOS LTDA,
76.535.764/0001-43,OI S.A. - EM RECUPERACAO JUDICIAL,OI
34.559.748/0001-40,PAY LIVRE BRASIL SERVICOS DE PAGAMENTOS LTDA,PAY LIVRE
20.937.849/0001-01,JEITTO MEIOS DE PAGAMENTO LTDA.,
04.862.600/0001-10,"PORTOSEG S/A - CREDITO, FINANCIAMENTO E INVESTIMENTO",
74.469.057/0001-70,DANCETERIA E LANCHONETE IPE LTDA,
06.206.233/0001-21,SOL SERVICOS DE INTERMEDIACAO S.A.,SORTE ONLINE
15.436.940/0001-03,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.,AMAZON.COM.BR
03.881.423/0001-56,"SOCINAL S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",
14.110.585/0001-07,MELIUZ S.A.,
26.160.983/0001-17,EDUARDO VIEIRA DA COSTA,PIZZARIA VIEIRA
13.442.119/0001-66,BNC CADASTROS E COBRANCAS LTDA,
34.669.665/0001-04,P4 PAGAMENTOS LTDA,PAGSORTE
31.872.495/0001-72,BANCO C6 S.A.,
17.079.937/0001-05,PINBANK BRASIL INSTITUICAO DE PAGAMENTO S.A.,PINBANK BRASIL
32.246.162/0001-09,ALIPAY BRASIL MEIOS DE PAGAMENTO LTDA.,
39.910.213/0001-96,NEXTA SERVICOS DE PAGAMENTOS LTDA,
33.041.260/0652-90,VIA S.A.,
29.639.420/0001-02,PAGGUE INTERMEDIACAO DE SERVICOS E NEGOCIOS LTDA,PAGGUE
36.947.229/0001-85,COBUCCIO SOCIEDADE DE CREDITO DIRETO S.A.,AGIL
13.122.801/0001-71,APLICAP CAPITALIZACAO S/A,
36.149.947/0001-06,KIWIFY EDUCACAO E TECNOLOGIA LTDA,KIWIFY
59.588.111/0001-03,BANCO VOTORANTIM S.A.,
34.841.787/0003-06,PAY BROKERS COBRANCA E SERVICOS EM TECNOLOGIA LTDA.,
34.378.264/0001-03,RAPPIPAY INSTITUICAO DE PAGAMENTO LTDA,
23.819.290/0001-03,2GO ADMINISTRACAO E PAGAMENTOS LIMITADA,
36.466.895/0001-00,RENAN DAMBROS 05522518952,
36.534.075/0001-08,DANIELE RAMOS BOTARO 30057508844,DANI ASSIST TEC E SERV DIGITAIS
92.894.922/0001-08,BANCO ORIGINAL S/A,
13.347.016/0001-17,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,
02.421.421/0117-41,TIM S A,
